English,Urdu
Call me back.,مجھے واپس کال کریں۔
As soon as possible,جتنی جلدی ہو سکے
Do me a favor,ایک کام کرو
Give me a hand,مجھے ایک ہاتھ دو
I do not understand,میں نہیں سمجھا
I do not mean it,میرا مطلب یہ نہیں ہے
I decline!,رد کرتا ہوں میں!
I’m on a diet,میں ایک غذا پر ہوں
I just made i,میں نے ابھی میں بنایا ہوں
I’m sorry,میں معافی چاہتا ہوں
Absolutely not.,بالکل نہیں.
I have no idea,مجھے کوئی اندازہ نہیں
I agree.,میں راضی ہوں.
I’m at home,میں گھر پر ہوں
It’s on the tip of my tongue,یہ میری زبان کی نوک پر ہے
It’s ok,ٹھیک ہے
It really takes time,واقعی وقت لگتا ہے
It’s fort he best,یہ قلعہ ہے جو وہ بہترین ہے
"No, I don’t want",نہیں ، میں نہیں چاہتا
See you,آپ سے ملتے ہیں
See you next time,آپ اگلی بار دیکھیں
So I do,تو میں کرتا ہوں
So so,کچھ خاص نہیں
Allow me,مجھے اجازت
Any day will do,کوئی بھی دن کرے گا
Be calm,پرسکون ہو
Be careful!,محتاط رہیں!
Be quiet!,خاموش رہو!
Cheer up!,خوش رہو!
Come on,چلو بھئی
Don’t be ridicolus,مضحکہ خیز مت بنو
Don’t be so childish,اتنا بچکانہ مت بنو
Don’t move!,منتقل نہیں!
Don’t worry,فکر نہ کرو
Enjoy yourself,اپنے آپ سے لطف اندوز
Follow me,میری پیروی کرو
Forgive me,مجھے معاف کریں
Forget it,اسے بھول جاؤ
God bless you,اللہ اپ پر رحمت کرے
It’s very thoughtful of you,یہ آپ کے بارے میں بہت سوچا ہے
It’s up to you,یہ آپ پر منحصر ہے
It’s none of you business,یہ آپ میں سے کوئی بھی کاروبار نہیں ہے
Shut up,بکواس بند کرو
Slow down,آہستہ آہستہ
You are going too fast,آپ بہت تیزی سے جارہے ہیں
Come with me,میرے ساتھ او
Good afternoon,صبح بخیر
Good morning,صبح بخیر
Good night,شب بخیر
Have a good trip,ایک اچھا سفر ہے
Have a good weekend,آپکے ہفتہ کا اختتام اچہا رہے
I admire you,میں سراہتا ہوں آپکو
I apologize,معافی چاہتا ہوں
I can’t wait,میں انتظار نہیں کرسکتا
I don’t have time,میرے پاس وقت نہیں ہے
I got it.,مجھے مل گیا۔
I hate you!,مجھے تم سے نفرت ہے!
I hope so.,مجھے امید ہے.
I knew it.,مجھے معلوم تھا.
I love you.,میں تم سے پیار کرتا ہوں.
I would love to.,میں پسند کروں گا۔
I am busy.,میں مصروف ہوں.
I am tired.,میں تھکا ہوا ہوں۔
I don’t agree.,میں اتفاق نہیں کرتا۔
You are wasting my time.,تم میرا وقت ضائع کر رہے ہو۔
I feel much better.,میں بہت بہتر محسوس کرتا ہوں۔
They like each other.,وہ ایک دوسرے کو پسند کرتے ہیں۔
I’m sorry.,میں معافی چاہتا ہوں.
I’m good.,میں ٹھیک ہوں.
It doesn’t matter.,اس سے کوئی فرق نہیں پڑتا ہے۔
Join me.,مجھے جوائن کریں.
Let’s catch up!,آئیے پکڑتے ہیں!
Let’s do it.,چلو کرتے ہیں.
Nice to meet you.,آپ سے مل کر خوشی ہوئی.
Not yet.,ابھی تک نہیں.
Talk to you tomorrow.,تم سے کل بات ہوگی.
Thank you very much.,بہت بہت شکریہ.
You turn.,آپ کی باری.
"A lovely day, isn’t it?",ایک خوبصورت دن ، ہے نا؟
Do i have to?,کیا مجھے کرنا ہے؟
Can I help you?,کیا میں اپ کی مدد کر سکتا ہوں؟
How are things going?,کیسا چل رہا ہے؟
Any thing else?,اور کچھ؟
Are you kidding?,آپ مذاق کر رہے ہیں؟
Are you sure?,کیا تمہیں یقین ہے؟
Do you understand me?,کیا آپ میری بات سمجھ رہے ہیں؟
Are you done?,کیاآپ نے ختم کیا؟
Can I ask you something?,کیا میں تم سے کچھ پوچھ سکتا ہوں؟
Can you please repeat that?,کیا آپ براہ کرم اس کو دہرائیں؟
Did you get it?,کیا آپ نے لے لیا ہے؟
Do you need anything?,کیا آپ کو کسی چیز کی ضرورت ہے؟
How are you?,آپ کیسے ہو؟
How do you feel?,اپ کیسا محسوس کر رہے ہیں؟
How much is it?,یہ کتنے کا ہے؟
How old are you?,آپ کتنے سال کے ہو؟
How was your weekend?,ہفتہ وار چھٹی کیسی گزری؟
Is all good?,کیا سب اچھا ہے؟
Is everything OK?,کیا سب ٹھیک ہے؟
What are you doing?,تم کیا کر رہے ہو؟
What are you talking about?,آپ کیا کہ رہے ہو؟
What are you up to?,آپ کیا کر رھے ھیں؟
What are your hobbies?,تمہارے کیا مشاغل ہیں؟
What did you say?,آپ نے کیا کہا؟
What do you need?,آپ کو کیا ضرورت ہے؟
What do you think?,آپ کیا سوچتے ہیں؟
What do you want to do?,آپ کیا کرنا چاہتے ہیں؟
What do you want?,تم کیا چاہتے ہو؟
What’s the weather like?,موسم کیسا ہے؟
What’s your e-mail address?,آپ کا ای میل ایڈریس کیا ہے؟
What is your job?,تمہارا کام کیا ہے؟
What’s your name?,آپ کا نام کیا ہے؟
What’s your phone number?,اپکا فون نمبر کیا ہے؟
What is going on?,کیا ہو رہا ہے؟
When is the train leaving?,ٹرین کب جارہی ہے؟
How can I go to the town centre?,میں ٹاؤن سینٹر کیسے جاسکتا ہوں؟
Where are you from?,آپ کہاں سے ہیں؟
Where are you going?,آپ کہاں جا رہے ہیں؟
Where are you?,اپ کہاں ہیں؟
Where did you get it?,تم نے اسے کہاں سے پایا؟
Where do you live?,تم کہاں رہتے ہو؟
Are you coming with me?,کیا تم میرے ساتھ آرہے ہو؟
How long will you stay?,آپ کتنا عرصہ رہیں گے؟
